n,tempo
1000, 0.0
2000, 0.046875
3000, 0.109375
4000, 0.203125
5000, 0.296875
6000, 0.453125
7000, 0.65625
8000, 0.890625
9000, 1.359375
10000, 1.765625
11000, 2.453125
12000, 2.984375
13000, 4.390625
14000, 5.078125
15000, 6.53125
16000, 8.125
17000, 9.84375
18000, 11.6875
19000, 13.421875
20000, 14.984375
21000, 17.671875
22000, 19.46875
23000, 22.921875
24000, 25.359375
25000, 28.765625
26000, 30.90625
27000, 34.421875
28000, 37.71875
29000, 40.9375
30000, 43.6875
31000, 47.1875
32000, 50.40625
33000, 52.28125
34000, 56.0
35000, 67.375
36000, 63.03125
37000, 67.109375
38000, 70.4375
39000, 74.671875
40000, 78.421875
41000, 83.5
42000, 88.0625
43000, 91.703125
44000, 95.6875
45000, 100.109375
46000, 105.828125
47000, 109.703125
48000, 114.28125
49000, 121.296875
50000, 146.609375
51000, 133.0625
52000, 139.171875
53000, 166.328125
54000, 154.25
