n,tempo
1000, 0.015625
2000, 0.015625
3000, 0.046875
4000, 0.0625
5000, 0.046875
6000, 0.109375
7000, 0.171875
8000, 0.234375
9000, 0.25
10000, 0.359375
11000, 0.453125
12000, 0.484375
13000, 0.5625
14000, 0.6875
15000, 0.84375
16000, 0.9375
17000, 1.015625
18000, 1.140625
19000, 1.25
20000, 1.390625
21000, 1.53125
22000, 1.953125
23000, 1.84375
24000, 2.0
25000, 2.21875
26000, 2.375
27000, 2.578125
28000, 2.75
29000, 3.296875
30000, 3.15625
31000, 3.75
32000, 3.609375
33000, 3.90625
34000, 4.125
35000, 4.40625
36000, 4.65625
37000, 4.96875
38000, 5.078125
39000, 5.5625
40000, 5.640625
41000, 5.921875
42000, 6.203125
43000, 6.984375
44000, 6.796875
45000, 7.171875
46000, 7.421875
47000, 7.765625
48000, 8.09375
49000, 8.375
50000, 8.71875
51000, 8.953125
52000, 9.40625
53000, 9.921875
54000, 10.875
