n,tempo
1000, 0.0
2000, 0.015625
3000, 0.015625
4000, 0.078125
5000, 0.109375
6000, 0.15625
7000, 0.171875
8000, 0.25
9000, 0.3125
10000, 0.375
11000, 0.46875
12000, 0.640625
13000, 0.609375
14000, 0.75
15000, 0.859375
16000, 1.0
17000, 1.296875
18000, 1.3125
19000, 1.46875
20000, 1.75
21000, 1.734375
22000, 1.90625
23000, 2.046875
24000, 2.265625
25000, 2.453125
26000, 2.625
27000, 3.0
28000, 3.109375
29000, 3.21875
30000, 3.46875
31000, 3.828125
32000, 4.046875
33000, 4.75
34000, 4.53125
35000, 4.859375
36000, 5.1875
37000, 5.3125
38000, 5.671875
39000, 6.0
40000, 6.296875
41000, 6.78125
42000, 6.984375
43000, 7.25
44000, 7.78125
45000, 7.765625
46000, 8.375
47000, 8.59375
48000, 9.109375
49000, 9.578125
50000, 9.6875
51000, 10.640625
52000, 10.5625
53000, 11.53125
54000, 12.203125
