n,tempo
1000, 0.0
2000, 0.046875
3000, 0.109375
4000, 0.1875
5000, 0.34375
6000, 0.515625
7000, 0.78125
8000, 0.953125
9000, 1.234375
10000, 1.828125
11000, 1.921875
12000, 2.0625
13000, 2.859375
14000, 3.328125
15000, 4.703125
16000, 9.734375
17000, 7.375
18000, 8.4375
19000, 12.5
20000, 14.015625
21000, 14.96875
22000, 18.328125
23000, 21.984375
24000, 29.75
25000, 32.34375
26000, 37.546875
27000, 40.609375
28000, 44.53125
29000, 47.765625
30000, 51.515625
31000, 56.046875
32000, 55.03125
33000, 64.21875
34000, 68.0625
35000, 72.453125
36000, 75.125
37000, 81.109375
38000, 85.109375
39000, 87.984375
40000, 92.09375
41000, 98.28125
42000, 103.09375
43000, 108.015625
44000, 113.5
45000, 119.5
46000, 124.1875
47000, 130.015625
48000, 133.71875
49000, 141.859375
50000, 149.28125
51000, 153.609375
52000, 158.703125
53000, 167.71875
54000, 184.71875
