n,tempo
600,0.0
1200,0.0
1800,0.046875
2400,0.078125
3000,0.140625
3600,0.234375
4200,0.28125
4800,0.359375
5400,0.515625
6000,0.5625
6600,0.671875
7200,0.796875
7800,0.9375
8400,1.390625
9000,1.5625
9600,3.328125
10200,2.125
10800,2.140625
11400,2.609375
12000,3.625
12600,3.828125
13200,4.15625
13800,5.015625
14400,6.328125
15000,3.9375
15600,4.0625
16200,5.234375
16800,7.671875
17400,8.53125
18000,8.5625
18600,13.578125
19200,15.234375
19800,13.28125
20400,13.640625
21000,15.6875
21600,18.6875
22200,19.421875
22800,22.953125
23400,25.40625
24000,29.671875
24600,31.546875
25200,32.6875
25800,35.515625
26400,36.21875
27000,39.953125
27600,41.265625
28200,43.828125
28800,41.234375
29400,48.515625
30000,50.46875
30600,52.828125
31200,54.59375
31800,56.03125
32400,59.140625
33000,61.796875
33600,60.828125
34200,66.640625
34800,69.140625
35400,71.359375
36000,72.390625
36600,76.6875
37200,78.953125
37800,80.390625
38400,82.0
39000,86.03125
39600,85.828125
40200,92.484375
40800,94.359375
41400,99.71875
42000,101.203125
42600,104.8125
43200,106.921875
43800,110.734375
44400,114.296875
45000,116.53125
45600,119.625
46200,123.171875
46800,126.5
47400,129.375
48000,132.640625
48600,138.125
49200,153.15625
49800,142.890625
50400,146.90625
51000,150.65625
51600,155.578125
52200,164.6875
52800,164.921875
53400,170.15625
54000,176.015625
54600,180.265625
55200,191.390625
55800,197.96875
56400,216.625
57000,308.546875
57600,321.046875
58200,368.203125
58800,401.890625
59400,400.828125
60000,474.265625
